1;Fugardi A.;Storia delle Olimpiadi;;
2;Engel CE.;Storia dell'alpinismo;;
3;AA.W.;Il libro dell'atletica leggera;;
4;Fugardi A.;Il calcio dalle origini ad oggi;;
5;Martucci D.;Gli italiani e lo sport;;
6;Martucci D.;Gli italiani e lo sport;;
7;STRAUSS C.;Ginnastica-Arte del movimento;;
8;Languiilamme;Sport e repressione;;
9;Capra E.;Pallamano;;
10;Ricciardi P.;Le tecniche del rilassamento muscolare;;
11;Anderlini F.;La pallavolo;;
12;Di Donato M.;Avviamento alla didattica dell'educazione Fisica nelle scuole elementari;;
13;La Cava G-.;L'alimentazione dell'atleta;;
14;Riva M.;Preparazione alla ginnastica;;
15;Freund-Campiotti;Il vero sciatore;;
16;Carneroli E.;100 anni di educazione fisica;;
17;Cerquiglini S.;Medicina e montagna;;
18;La Cava G.;Elementi di medicina sportiva per allenatorI e atleti;;
19;Molinatti I.;Appunti delle lezioni di tecnica e didattici dello sci;;
29;Meusel H.;Giochi di corsa,di lotta e con la palla;;
21;Guerrini G.;Andare per grotte;;
22;Garatti G.;Piccolo mondo dello sport trevigiano;;
23;Bonacina G.;Storia dell'atletica leggera;;
24;Moselli M.;Elementi di fisioterapia pratica;;
25;Hiebler T.;Sci sulle Dolomiti;;
26;Manoni A.;Ginnastica artistica maschile;;
27;Ponzoni F.;L'atletica leggera nella scuola italiana;;
28;Mariotto F.;Rieducazione psicomotoria e ginnastica ortopedica;;
29;Morehouse-Miller;Fisiologia dello sport e del lavoro;;
30;Maiello D.;Nuotare 1°;;
31;Maiello D.;Nuotare 2°;;
32;Ulmann J.;Ginnastica,ed.fisica e sport dall'antichità ad oggi;;
33;Ministero Pubblica Istruzione;Attività sportiva scolastica;;
34;Ministero Pubblica Istruzione;Attività sportiva scolastica;;
35;Maestri C.;A scuola di roccia;;
36;La Cava G.;Medicina e traumatologia dello sport;;
37;Favre S.;L'arte e lo sport nell'antico Egitto;;
38;Seybold-Brunnhxzber;Esercizi e giochi con la palla;;
39;Al Tyìll;Il libro completo dello sci nautico;;
40;Maioli (a cura di);122 piste di discesa;;
41;Boigey M..;Il libro del massaggio;;
42;Muzio-Roione;Nuoto bambino;;
43;Guglielmi G.;Educazione fisica;;
44;Koglrausch G.;Ginnastica medica in ginecologia;;
45;AA.VV.;OIympiad 1960;;
46;AA.VV.;Cosa muove l'umanità;;
47;AA.VV.;Educazione sanitaria;;
48;AA.VV.;40 anni nello sport;;
49;Lo Giudice;Calcio a cinque;;
50;Farfel V.S.;Il controllo dei movimenti sportivi;;
51;Wooden J.R.;Il basket;;
52;Siani V.;Sport-energia-alimenti;;
53;Anderson-Burke;In forma: programmi di allenamento per uomini e donne;;
54;Del Freo-Calligaris;Preparazione fisico-tecnica del calciatore attraverso 500 esercizi con il pallone;;
55;Anderson Bob;Stretching 2;;
56;Bosco Ph. D.;La preparazione fisica nella pallavolo femminile;;
57;Pasquino Fabio V.;Ginnastica dolce per essere sempre in forma;;
58;AA.VV.;Educazione fisica;;
59;AA.VV.;Educazione fisica;;
60;AA.VV.;Educazione fisica;;
61;AA.VV.;Educazione fisica;;
62;AA.VV.;Educazione fìsica;;
63;Giuliani M. (a cura);Dal fare al dire;;
64;Giuliani M. (a cura);Dal fare al dire;;
65;Giuliani M. (a cura);Dal fare al dire;;
66;Giuliani M. (a cura);Dal fare al dire;;
67;Giuliani M. (a cura);Dal fare al dire;;
68;Missaglia M.;Conoscere, controllare, utilizzare l'educazione fisica e sportiva;;
69;Missaglia M.;Conoscere, controllare, utilizzare l'educazione fisica e sportiva;;
70;AA.VV.;Manuale di teoria dell'allenamento;;
71;Ciammaroni Elio;La Kinesiterapia delle algie vertebrali;;
72;Gurevic LA.;1500 esercizi per la strutturazione dell'allenamento in circuito(Circuit training);;
73;Bertherat-Bernstein;Nuove vie dell'antiginnastica;;
74;Pascolini Mauro;Sport e rivoluzione;;
75;Butler Richard J.;Psicologia e attività sportiva;;
76;Oldani-Flores;Correre (Allenamento-diete-stili);;
77;Aledda Aldo;De Coubertin addio! (Corruzione, affari, droga, frode e criminalità nello sport dall'antichità ai nostri giorni );;
78;Bertherat - Bernstein;Guarire con l’ Antiginnastica;;
79;AA.VV.;Quale attività sportiva e perché?;;
80;AA.VV.;Quale attività sportiva e perché?;;
81;Agostinetti Nino;Gorizia e la Ginnastica;;
82;Andre Agassi;Open: la mia storia dopo il traguardo;;
84;Alessandro Donati;I signori del doping;;
85;la biblioteca dello sport;atleti olimpici del friuli venezia giulia;;
